{'player_y': 256, 'next_next_pipe_dist_to_player': 453.0, 'player_vel': 0, 'next_pipe_dist_to_player': 309.0, 'next_next_pipe_bottom_y': 260, 'next_next_pipe_top_y': 160, 'next_pipe_bottom_y': 244, 'next_pipe_top_y': 144}
{'player_y': 256, 'next_next_pipe_dist_to_player': 453.0, 'player_vel': 0, 'next_pipe_dist_to_player': 309.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 248.0, 'next_next_pipe_dist_to_player': 449.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 305.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 248.0, 'next_next_pipe_dist_to_player': 445.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 301.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 240.0, 'next_next_pipe_dist_to_player': 441.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 297.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 240.0, 'next_next_pipe_dist_to_player': 437.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 293.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 241.0, 'next_next_pipe_dist_to_player': 433.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 289.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 243.0, 'next_next_pipe_dist_to_player': 429.0, 'player_vel': 2.0, 'next_pipe_dist_to_player': 285.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 235.0, 'next_next_pipe_dist_to_player': 425.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 281.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 235.0, 'next_next_pipe_dist_to_player': 421.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 277.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 236.0, 'next_next_pipe_dist_to_player': 417.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 273.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
